Pos_x,Pos_y,Pos_z,m_x,m_y,m_z
-2767549.5,5329609.5,1693760.6,-1.1360439e+20,1.8777884e+19,-1.2864362e+20
-2810918.8,5443076.5,1432338.9,-1.3620676e+20,-3.5942083e+19,2.9877394e+20
-2751300.5,5432241.5,1550281.2,-1.14671525e+20,-1.7858601e+19,-1.453946e+20
-2687380.2,5466799.5,1499535.8,-7.272175e+19,1.2449447e+19,7.815785e+19
-2806122.5,5389250.0,1432135.2,2.0206096e+20,-9.791446e+19,2.6144216e+19
-2761163.8,5505968.5,1464324.4,-9.5137205e+19,2.045216e+19,1.4861223e+20
-2654526.5,5426648.5,1655535.4,-2.5339846e+19,6.454751e+18,3.0422332e+19
-2851811.2,5395812.0,1565569.6,1.4325285e+20,4.6164966e+19,1.898857e+20
-2814126.5,5384026.5,1710318.5,-1.5926822e+20,5.511206e+19,8.649643e+19
-2726020.2,5411830.5,1726117.1,-1.5093121e+19,2.1858567e+20,1.7395391e+19
-2757509.8,5426731.5,1528523.6,6.6801876e+19,2.380952e+20,1.7088723e+19
-2763209.0,5493487.0,1533171.5,-2.6275411e+20,-1.2948135e+20,6.6643005e+19
-2623590.5,5460761.5,1465084.6,-9.496787e+19,-1.9374591e+19,2.5373931e+19
-2635715.2,5432991.0,1533654.6,1.1544175e+18,-3.480991e+19,3.2636454e+19
-2747865.8,5516229.5,1505908.1,-6.422483e+19,2.2254017e+20,5.4496216e+19
-2649738.2,5528991.5,1573292.6,1.0259971e+20,-1.401935e+20,-4.072597e+19
-2795827.8,5358379.5,1528865.9,3.911709e+19,9.622532e+19,2.4846144e+19
-2626375.0,5486806.0,1485228.6,-2.1629652e+19,-2.949408e+19,-7.2896165e+19
-2644064.0,5487567.5,1442879.2,-1.1730915e+20,-4.596854e+19,7.54901e+19
-2625907.0,5499889.0,1542137.2,-1.2293448e+19,-5.4131847e+19,-4.0690792e+19
-2617968.2,5459909.0,1562579.5,7.725712e+19,-9.14763e+19,8.852365e+19
-2717567.2,5483792.5,1510486.4,1.2579218e+19,7.0422207e+19,-5.8870184e+18
-2647610.2,5431133.0,1608331.8,-5.3419183e+19,5.956838e+19,-1.2493033e+20
-2862970.2,5461481.0,1559473.4,1.2061936e+20,1.5333237e+20,7.48148e+19
-2696690.8,5476638.0,1552037.1,-7.615171e+19,-1.4933987e+20,3.7796697e+19
-2612572.5,5455526.5,1655860.2,-1.1060485e+20,-1.231185e+20,1.5839626e+20
-2838646.2,5399667.0,1669459.0,-3.238602e+19,8.392767e+19,1.2600403e+20
-2840780.2,5359867.0,1647513.9,-9.732565e+19,-4.5196283e+19,8.55347e+19
-2707656.5,5467411.0,1668648.5,-1.0612629e+20,-1.1457596e+20,4.015098e+19
-2597168.8,5483125.5,1563863.6,6.1817873e+19,-1.561323e+20,-1.1157521e+20
-2635588.2,5477617.5,1587011.9,1.5680427e+20,-1.4253539e+20,-2.1809005e+20
-2656861.2,5397423.0,1590147.2,1.1029206e+20,3.819561e+19,3.092018e+19
-2735797.2,5424911.0,1424843.8,-7.3432538e+19,-9.353238e+19,1.001549e+20
-2660698.2,5505086.0,1488810.2,-4.3352684e+19,-1.5398766e+19,-4.4725125e+19
-2767215.0,5488495.0,1612253.2,-2.8273176e+20,3.0332388e+19,-1.1360951e+20
-2804391.0,5462194.5,1517477.8,2.0348493e+17,2.3621229e+20,-7.650851e+19
-2652119.5,5528938.0,1674253.6,1.0447501e+20,-5.152076e+19,1.7951237e+20
-2590997.8,5471045.5,1480218.4,7.495212e+18,-1.1983442e+19,-1.2631788e+20
-2685023.2,5514098.5,1423537.9,-9.676141e+19,4.4435716e+19,8.5689955e+19
-2650545.5,5454867.0,1491773.5,-1.6561457e+19,-8.524528e+19,5.045588e+18
-2689575.0,5455184.5,1585647.6,-1.0364292e+20,-1.1674092e+20,-4.5921345e+19
-2703115.8,5422202.5,1723097.4,-3.3363761e+19,3.2362535e+19,1.5989304e+20
